,player,team,games,goals,assists,points,pl_min,shoots,per_shoots,penalty_time,avr_time_on_ice,position
798,Шарипзянов Дамир,НХК,61,8,16,24,6,136,5.9,20,18:21,D
799,Шаус Ник,СЛВ,10,1,1,2,-7,14,7.1,6,15:52,D
800,Шварни Иван,СЛВ,54,1,4,5,-18,69,1.4,18,15:45,D
801,Швиденко Дмитрий,АМР,14,1,1,2,-4,17,5.9,6,14:55,D
802,Шинин Александр,ТРК,28,0,2,2,-8,24,0.0,4,15:56,D
803,Шинкевич Илья,ВИТ,37,1,2,3,-12,26,3.8,59,18:29,D
804,Шуленин Дмитрий,ДРГ,48,0,1,1,-9,17,0.0,19,15:59,D
805,Щитов Никита,СОЧ,44,3,4,7,-8,91,3.3,36,19:24,D
806,Юдин Дмитрий,АКБ,32,0,3,3,-1,40,0.0,24,17:53,D
807,Юйэнь Зак,КУН,35,1,1,2,-12,16,6.3,41,10:54,D
808,Яношик Адам,СЛВ,56,1,4,5,-24,68,1.5,32,14:54,D
809,Ярвинен Йоонас,КУН,39,2,5,7,4,53,3.8,30,19:30,D
810,Яруллин Альберт,АКБ,62,5,7,12,18,121,4.1,30,20:20,D
